team;teamshort
Team Aarau;Aarau
Team Aarau II;Aarau
Team Aarau IV;Aarau
Unihockey Aargau United;Aargau United
THS Adliswil II;Adliswil
Eagles UHC-Aigle;Aigle
Floorball Albis;Albis
Floorball Albis II;Albis
Alterswil-St. Antoni;Alterswil
unihockeyaltnau;Altnau
UH Appenzell;Appenzell
UH Appenzell II;Appenzell
UHT Arni;Arni
UHT Arni III;Arni
Baden-Birmenstorf;Baden-Birmenstorf
Baden-Birmenstorf III;Baden-Birmenstorf
DT Bäretswil;Bäretswil
FBC Barons Zürich;Barons
Unihockey Basel Regio;Basel Regio
UHC Basel United;Basel United
UHC Basel United II;Basel United
Schatrine Bellach;Bellach
UHC Belmont;Belmont
Gürbetal RK Belp;Belp
UHC Benken-Mollis;Benken
Unihockey Berner Oberland;BEO
Unihockey Berner Oberland III;BEO
STV Berg;Berg
STV Berg II;Berg
UHU Bern;Bern
Bern Capitals;Bern Caps
Bern Capitals Ost;Bern Caps
Bern Capitals Ost III;Bern Caps
Eintracht Beromünster;Beromünster
UHC Bevaix;Bevaix
Biberist Aktiv;Biberist
Biberist Aktiv II;Biberist
UHC Biel-Seeland;Biel
TV Birrhard;Birrhard
UHC Bowil;Bowil
UHC Bremgarten;Bremgarten
UHC Bremgarten II;Bremgarten
UHC La Brévine;Brévine
UHC La Brévine II;Brévine
Powermäuse Brugg;Brugg
TSV Bubendorf;Bubendorf
TV Bubendorf;Bubendorf
Traktor Buchberg-Rüdl.;Buchberg
Bülach Floorball;Büli
Power Wave Buochs;Buochs
Power Wave Buochs III;Buochs
UHC Burgdorf;Burgdorf
UHC Burgdorf III;Burgdorf
UHC Löwen Bürglen;Bürglen
Blau-Gelb Cazis;Cazis
UHC La Chaux-de-Fonds;Chaux-de-Fonds
UHC Chermignon;Chermignon
Comet Cheseaux;Cheseaux
Chilis Rümlang-Regensdorf;Chilis
Chur Unihockey;Chur
Chur Unihockey II;Chur
Floorball Chur United;Chur
Floorball Chur United II;Chur
UHC Churwalden-Malix;Churwalden
Corcelles-Cormondrèche;Corcelles
Corcelles-Cormondrèche III;Corcelles
UHC Cornaux;Cornaux
Crusaders 95 Zürich;Crusaders
FB Riders DBR;DBR
FB Riders DBR II;DBR
TSV Unihockey Deitingen;Deitingen
Unihockey Derendingen;Derendingen
UHC D.B. Disentis;Disentis
EFS United;EFS
UHT Eggiwil;Eggiwil
UHC Bulldogs Ehrendingen;Ehrendingen
UHC Elgg;Elgg
UHC B.S. Embrach;Embrach
UHC B.S. Embrach II;Embrach
Unihockey Emme;Emme
Unihockey Regio Entlebuch;Entlebuch
UHC RW Erlenbach;Erlenbach
ESV Eschenbach;Eschenbach
UHC Eschenbach;Eschenbach
Glattal Falcons;Falcons
Glattal Falcons IV;Falcons
UHC la Ferrière;Ferrière
UHC Flamatt-Sense;Flamatt
UHC Flamatt-Sense II;Flamatt
Jona-Uznach Flames;Flames
Team Flamingo;Flamingo
