gameid,team1,team2,roundname,roundid,tournamentid,tournamentname,season,cuptype,gender,fieldtype,gamedate,gametime,venue,status,result,source,apiendpoint,link,hometeamscore,awayteamscore,gamelocation,referees,spectators,notes,numericgameid,bracketsortorder,crawledat,updatedat
game_1072812,Eintracht Beromünster,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072812,,,,,,,1072812,64,2025-06-24 12:00:52.682947,2025-06-24 12:00:52.682947
game_1072811,UHC Pinguin Schötz,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072811,,,,,,,1072811,63,2025-06-24 12:00:52.679379,2025-06-24 12:00:52.679379
game_1072810,Unihockey TV Grosswangen,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072810,,,,,,,1072810,62,2025-06-24 12:00:52.676169,2025-06-24 12:00:52.676169
game_1072809,Wolves Züri Unterland,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072809,,,,,,,1072809,61,2025-06-24 12:00:52.67247,2025-06-24 12:00:52.67247
game_1072808,UHT Arni,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072808,,,,,,,1072808,60,2025-06-24 12:00:52.668123,2025-06-24 12:00:52.668123
game_1072807,UHT Krattigen,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072807,,,,,,,1072807,59,2025-06-24 12:00:52.66481,2025-06-24 12:00:52.66481
game_1072806,UHC Flamatt-Sense,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072806,,,,,,,1072806,58,2025-06-24 12:00:52.661559,2025-06-24 12:00:52.661559
game_1072805,UH Lejon Zäziwil II,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072805,,,,,,,1072805,57,2025-06-24 12:00:52.658067,2025-06-24 12:00:52.658067
game_1072804,Floorball Thurgau,UHC Tägerwilen,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",finished,11:9,api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072804,,,,,,,1072804,56,2025-06-24 12:00:52.653707,2025-06-24 12:00:52.653707
game_1072803,UHC R. Grabs-Werdenberg,Freilos,1/64,114237,406148,Mobiliar Ligacup Frauen,2025/26,damen_kleinfeld,damen,kleinfeld,"","","",scheduled,"",api,/api/games?mode=cup&tournament_id=406148&round=114237,https://www.swissunihockey.ch/de/spiel/game-detail?game_id=1072803,,,,,,,1072803,55,2025-06-24 12:00:52.650387,2025-06-24 12:00:52.650387
